スケートリーディング☆スターズ,すけーとりーでぃんぐすたーず,2021年冬,バトル,J.C.STAFF,"内田雄馬, 古川慎, 神谷浩史, 日野聡, 前野智昭, 花江夏樹"
装甲娘戦機,そうこうむすめせんき,2021年冬,恋愛,studio A-CAT,"逢田梨香子, 村川梨衣, 大西沙織, 福原綾香, 宮下早紀"
たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,たとえばらすとだんじょんまえのむらのしょうねんがじょばんのまちでくらすようなものがたり,2021年冬,スポーツ,ライデンフィルム,"花守ゆみり, 茅野愛衣, 日岡なつみ, 朝日奈丸佳, 津田美波, 伊藤美来"
転生したらスライムだった件 第2期 第1部,てんせいしたらすらいむだったけんだいにきだいいちぶ,2021年冬,青春,エイトビット,"岡咲美保, 豊口めぐみ, 前野智昭, 古川慎, 千本木彩花, M・A・O"
天地創造デザイン部,てんちそうぞうでざいんぶ,2021年冬,戦争,旭プロダクション,"榎木淳弥, 原由実"
トロピカル～ジュ！プリキュア,とろぴかるーじゅぷりきゅあ,2021年冬,SF,東映アニメーション,""
Dr.STONE（第2期）,どくたーすとーんにき,2021年冬,ファンタジー,トムス・エンタテインメント,"小林裕介, 古川慎, 市ノ瀬加那, 沼倉愛美, 佐藤元, 前野智昭"
七つの大罪 憤怒の審判,ななつのたいざいふんどのしんぱん,2021年冬,コメディ,スタジオディーン,"梶裕貴, 雨宮天, 久野美咲, 悠木碧, 鈴木達央, 福山潤"
2.43 清陰高校男子バレー部,にーてんよんさん せいいんこうこうだんしばれーぶ,2021年冬,バトル,david production,"榎木淳弥, 小野賢章, 梅原裕一郎, 伊東健人, 蒼井翔太, 木村昴"
のんのんびより のんすとっぷ,のんのんびより のんすとっぷ,2021年冬,恋愛,SILVER LINK.,"小岩井ことり, 村川梨衣, 佐倉綾音, 阿澄佳奈, 名塚佳織, 佐藤利奈"
はたらく細胞!!,はたらくさいぼう,2021年冬,スポーツ,david production,"花澤香菜, 前野智昭, 小野大輔, 井上喜久子, 長縄まりあ, 能登麻美子"
はたらく細胞BLACK,はたらくさいぼうぶらっく,2021年冬,青春,ライデンフィルム,"榎木淳弥, KENN, 日笠陽子, Lynn, 内山夕実, 鳴海崇志"
バック・アロウ,ばっくあろう,2021年冬,戦争,スタジオヴォルン,"梶裕貴, 洲崎綾, 小澤亜李, 小野賢章, 置鮎龍太郎, 杉田智和"
BEASTARS（第2期）,びーすたーず,2021年冬,SF,オレンジ,"小林親弘,千本木彩花,小野友樹"
文豪ストレイドッグス わん！,ぶんごうすとれいどっぐすわん,2021年冬,ファンタジー,ボンズ、ノーマッド,"上村祐翔, 宮野真守, 細⾕佳正, 諸星すみれ, 小野賢章, 谷山紀章"
PUI PUI モルカー,ぷいぷいもるかー,2021年冬,コメディ,シンエイ動画、ジャパングリーンハーツ,""
プレイタの傷,ぷれいたのきず,2021年冬,バトル,GoHands,"髙坂篤志, 千葉翔也, 榎木淳弥, 益山武明, 野上翔, 八代拓"
ホリミヤ,ほりみや,2021年冬,恋愛,CloverWorks,"戸松遥, 内山昂輝, 山下誠一郎, 小坂井祐莉絵, 岡本信彦, M・A・O"
魔術士オーフェンはぐれ旅 キムラック編,まじゅつしおーふぇんはぐれたびきむらっくへん,2021年冬,スポーツ,スタジオディーン,"森久保祥太郎, 大久保瑠美, 小林裕介, 鬼頭明里"
無職転生 ～異世界行ったら本気だす～,むしょくてんせいいせかいいったらほんきだす,2021年冬,青春,スタジオバインド,"内山夕実, 杉田智和, 小原好美, 加隈亜衣, 茅野愛衣, 森川智之"
約束のネバーランド Season2,やくそくのねばーらんどしーずんつー,2021年冬,戦争,CloverWorks,"諸星すみれ, 伊瀬茉莉也, 植木慎英, Lynn, 石上静香, 茅野愛衣"
八十亀ちゃんかんさつにっき 3さつめ,やとがめちゃんかんさつにっきさんさつめ,2021年冬,SF,サエッタ,"戸松遥, 市来光弘, 若井友希, 小松未可子, 東城日沙子, 南條愛乃"
闇芝居（第8期）,やみしばいだいはちき,2021年冬,ファンタジー,ILCA,"津田寛治, 北原里英, 吉田ウーロン太, 肘井ミカ, 新納敏正, 清水優"
ゆるキャン△ SEASON2,ゆるきゃんしーずんつー,2021年冬,コメディ,C-Station,"花守ゆみり, 東山奈央, 原紗友里, 豊崎愛生, 高橋李依, 黒沢ともよ"
Re:ゼロから始める異世界生活 2nd season（後半クール）,りぜろからはじめるいせかいせいかつせかんどしーずんこうはんくーる,2021年冬,バトル,WHITE FOX,"小林裕介, 高橋李依, 内山夕実, 水瀬いのり, 村川梨衣, 新井里美"
Levius,るびうす,2021年冬,恋愛,ポリゴン・ピクチュアズ,"島﨑信長, 諏訪部順一, 櫻井孝宏, 佐倉綾音, 大塚芳忠, 小野大輔"
ログ・ホライズン　円卓崩壊,ろぐほらいぞんえんたくほうかい,2021年冬,スポーツ,スタジオディーン,"寺島拓篤, 前野智昭, 加藤英美里, 中田譲治, 山下大輝, 田村奈央"
ワンダーエッグ・プライオリティ,わんだーえっぐぷらいおりてぃ,2021年冬,青春,CloverWorks,"相川奏多, 楠木ともり, 斉藤朱夏, 矢野妃菜喜"
ワールドウィッチーズ 発進しますっ！,わーるどうぃっちーずはっしんします,2021年冬,戦争,Acca effe、戯画プロダクション,"福圓美里, 世戸さおり, 名塚佳織, 沢城みゆき, 田中理恵, 園崎未恵"
ワールドトリガー 2ndシーズン,わーるどとりがーせかんどしーずん,2021年冬,SF,東映アニメーション,"村中知, 梶裕貴, 田村奈央, 中村悠一, 島﨑信長"
